citation_key,title,first_author,year,venue,publication_type,peer_reviewed,doi,pmid,pmcid,arxiv_id,official_source_url,manuscript_sections,claim_supported,verification_sources,verification_status,notes
Stacke2021HistopathologyDomainShift,Measuring Domain Shift for Deep Learning in Histopathology,Stacke,2021,IEEE Journal of Biomedical and Health Informatics,journal article,true,10.1109/jbhi.2020.3032060,33085623,,,https://doi.org/10.1109/JBHI.2020.3032060,"Introduction; Related work; Discussion","Histopathology domain shift can be quantified and is associated with acquisition differences","DOI; PubMed; IEEE",verified,
Howard2021SiteSpecificHistology,The Impact of Site-Specific Digital Histology Signatures on Deep Learning Model Accuracy and Bias,Howard,2021,Nature Communications,journal article,true,10.1038/s41467-021-24698-1,34285218,PMC8292530,,https://doi.org/10.1038/s41467-021-24698-1,"Introduction; Related work; Discussion","Site-specific histology signatures can affect model accuracy and bias","DOI; PubMed; PMC; publisher",verified,
Tellez2019StainNormalization,Quantifying the Effects of Data Augmentation and Stain Color Normalization in Convolutional Neural Networks for Computational Pathology,Tellez,2019,Medical Image Analysis,journal article,true,10.1016/j.media.2019.101544,31466046,,,https://doi.org/10.1016/j.media.2019.101544,"Introduction; Related work; Discussion","Stain normalization and augmentation affect computational-pathology performance","DOI; PubMed; Elsevier",verified,
Vahadane2016ColorNormalization,Structure-Preserving Color Normalization and Sparse Stain Separation for Histological Images,Vahadane,2016,IEEE Transactions on Medical Imaging,journal article,true,10.1109/tmi.2016.2529665,27164577,,,https://doi.org/10.1109/TMI.2016.2529665,Related work,"A structure-preserving stain-normalization method for histology","DOI; PubMed; IEEE",verified,
Macenko2009HistologyNormalization,A Method for Normalizing Histology Slides for Quantitative Analysis,Macenko,2009,IEEE International Symposium on Biomedical Imaging,conference paper,true,10.1109/isbi.2009.5193250,,,,https://doi.org/10.1109/ISBI.2009.5193250,Related work,"Foundational color-normalization method for histology","DOI; IEEE proceedings",verified,
Kleppe2021CancerDiagnosticsDesign,Designing Deep Learning Studies in Cancer Diagnostics,Kleppe,2021,Nature Reviews Cancer,review article,true,10.1038/s41568-020-00327-9,33514930,,,https://doi.org/10.1038/s41568-020-00327-9,"Introduction; Related work","Cancer-diagnostic deep-learning studies require careful design and external evaluation","DOI; PubMed; publisher",verified,Review used for study-design context
Bera2019DigitalPathologyAI,Artificial Intelligence in Digital Pathology---New Tools for Diagnosis and Precision Oncology,Bera,2019,Nature Reviews Clinical Oncology,review article,true,10.1038/s41571-019-0252-y,31399699,PMC6880861,,https://doi.org/10.1038/s41571-019-0252-y,Verified literature review,"Digital-pathology AI has translational opportunities and limitations","DOI; PubMed; PMC; publisher",verified,Background literature-review entry
Echle2021CancerPathology,Deep Learning in Cancer Pathology: A New Generation of Clinical Biomarkers,Echle,2021,British Journal of Cancer,review article,true,10.1038/s41416-020-01122-x,33204028,PMC7884739,,https://doi.org/10.1038/s41416-020-01122-x,Verified literature review,"Deep learning in cancer pathology requires translational validation","DOI; PubMed; PMC; publisher",verified,Background literature-review entry
Campanella2019ClinicalGradePathology,Clinical-Grade Computational Pathology Using Weakly Supervised Deep Learning on Whole Slide Images,Campanella,2019,Nature Medicine,journal article,true,10.1038/s41591-019-0508-1,31308507,PMC7418463,,https://doi.org/10.1038/s41591-019-0508-1,Limitations,"Clinical-grade pathology systems operate at whole-slide and workflow scales","DOI; PubMed; PMC; publisher",verified,
Lu2021WeaklySupervisedPathology,Data-Efficient and Weakly Supervised Computational Pathology on Whole-Slide Images,Lu,2021,Nature Biomedical Engineering,journal article,true,10.1038/s41551-020-00682-w,33649564,PMC8711640,,https://doi.org/10.1038/s41551-020-00682-w,Limitations,"Whole-slide pathology requires aggregation beyond patch classification","DOI; PubMed; PMC; publisher",verified,
Varoquaux2022MedicalImagingFailures,Machine Learning for Medical Imaging: Methodological Failures and Recommendations for the Future,Varoquaux,2022,npj Digital Medicine,review article,true,10.1038/s41746-022-00592-y,35413988,PMC9005663,,https://doi.org/10.1038/s41746-022-00592-y,"Introduction; Discussion","Medical-imaging evaluation can fail through data leakage and weak validation design","DOI; PubMed; PMC; publisher",verified,
Bandi2019Camelyon17,From Detection of Individual Metastases to Classification of Lymph Node Status at the Patient Level: The CAMELYON17 Challenge,Bandi,2019,IEEE Transactions on Medical Imaging,journal article,true,10.1109/tmi.2018.2867350,30716025,,,https://doi.org/10.1109/TMI.2018.2867350,"Related work; Methods","Original CAMELYON17 challenge and multi-center dataset description","DOI; PubMed; IEEE",verified,
Koh2021WILDS,WILDS: A Benchmark of in-the-Wild Distribution Shifts,Koh,2021,Proceedings of Machine Learning Research,conference paper,true,,,,,https://proceedings.mlr.press/v139/koh21a.html,"Related work; Methods; Data availability","WILDS benchmark and Camelyon17 hospital-domain framing","Official PMLR proceedings",verified,
WILDSCamelyon17Dataset,Camelyon17 Dataset,WILDS,n.d.,WILDS official dataset documentation,official dataset page,false,,,,,https://wilds.stanford.edu/datasets/#camelyon17,"Related work; Methods; Data availability","Official patch dimensions, hospital domains, and public-domain/CC0 status","Official WILDS project page",verified,Authoritative project documentation accessed 2026-07-17
Sagawa2020GroupDRO,Distributionally Robust Neural Networks for Group Shifts: On the Importance of Regularization for Worst-Case Generalization,Sagawa,2020,International Conference on Learning Representations,conference paper,true,,,,1911.08731,https://openreview.net/forum?id=ryxGuJrFvS,"Introduction; Related work; Methods","Original GroupDRO objective and worst-group optimization method","Official OpenReview; arXiv",verified,
Gulrajani2021DomainBed,In Search of Lost Domain Generalization,Gulrajani,2021,International Conference on Learning Representations,conference paper,true,,,,2007.01434,https://openreview.net/forum?id=lQdXeXDoWtI,"Introduction; Related work; Discussion","Domain-generalization evaluation and model selection require rigorous protocols","Official OpenReview; arXiv",verified,
Zhou2023DomainGeneralizationSurvey,Domain Generalization: A Survey,Zhou,2023,IEEE Transactions on Pattern Analysis and Machine Intelligence,review article,true,10.1109/tpami.2022.3195549,35914036,,,https://doi.org/10.1109/TPAMI.2022.3195549,"Introduction; Verified literature review","Overview of domain-generalization methods and assumptions","DOI; PubMed; IEEE",verified,
Piratla2022GroupRobustness,Focus on the Common Good: Group Distributional Robustness Follows,Piratla,2022,International Conference on Learning Representations,conference paper,true,,,,,https://openreview.net/forum?id=irARV_2VFs4,"Related work; Verified literature review","Group-robustness behavior depends on group distribution and objective assumptions","Official OpenReview",verified,
Guo2017Calibration,On Calibration of Modern Neural Networks,Guo,2017,Proceedings of Machine Learning Research,conference paper,true,,,,,https://proceedings.mlr.press/v70/guo17a.html,"Related work; Methods","Temperature scaling is a simple post-hoc calibration method that preserves argmax","Official PMLR proceedings",verified,
Ovadia2019UncertaintyShift,Can You Trust Your Model's Uncertainty? Evaluating Predictive Uncertainty Under Dataset Shift,Ovadia,2019,Advances in Neural Information Processing Systems,conference paper,true,,,,,https://proceedings.neurips.cc/paper/2019/hash/8558cb408c1d76621371888657d2eb1d-Abstract.html,"Related work; Discussion","Predictive uncertainty methods can degrade under dataset shift","Official NeurIPS proceedings",verified,
Minderer2021Calibration,Revisiting the Calibration of Modern Neural Networks,Minderer,2021,Advances in Neural Information Processing Systems,conference paper,true,,,,,https://proceedings.neurips.cc/paper/2021/hash/8420d359404024567b5d55b73f7d15d1-Abstract.html,"Related work; Discussion","Calibration behavior depends on model and distribution conditions","Official NeurIPS proceedings",verified,
VanCalster2019Calibration,Calibration: The Achilles Heel of Predictive Analytics,Van Calster,2019,BMC Medicine,review article,true,10.1186/s12916-019-1466-7,31842878,PMC6912996,,https://doi.org/10.1186/s12916-019-1466-7,"Introduction; Related work","Calibration is distinct from discrimination and requires appropriate evaluation","DOI; PubMed; PMC; publisher",verified,
Brier1950ProbabilityForecasts,Verification of Forecasts Expressed in Terms of Probability,Brier,1950,Monthly Weather Review,journal article,true,10.1175/1520-0493(1950)078<0001:vofeit>2.0.co;2,,,,https://doi.org/10.1175/1520-0493(1950)078%3C0001:VOFEIT%3E2.0.CO;2,Related work,"Original Brier probability score","DOI; NOAA journal record",verified,
Gneiting2007ProperScoringRules,Strictly Proper Scoring Rules Prediction and Estimation,Gneiting,2007,Journal of the American Statistical Association,journal article,true,10.1198/016214506000001437,,,,https://doi.org/10.1198/016214506000001437,Related work,"Proper scoring rules support probabilistic forecast evaluation","DOI; publisher",verified,
ElYaniv2010SelectiveClassification,On the Foundations of Noise-Free Selective Classification,El-Yaniv,2010,Journal of Machine Learning Research,journal article,true,,,,,https://www.jmlr.org/papers/v11/el-yaniv10a.html,"Related work; Verified literature review","Foundational selective-classification and risk-coverage framework","Official JMLR",verified,
Geifman2017SelectiveClassification,Selective Classification for Deep Neural Networks,Geifman,2017,Advances in Neural Information Processing Systems,conference paper,true,,,,,https://proceedings.neurips.cc/paper/2017/hash/4a8423d5e91fda00bb7e46540e2b0cf1-Abstract.html,"Related work; Verified literature review","Deep-network selective classification and risk-coverage control","Official NeurIPS proceedings",verified,
Geifman2019SelectiveNet,SelectiveNet: A Deep Neural Network with an Integrated Reject Option,Geifman,2019,Proceedings of Machine Learning Research,conference paper,true,,,,,https://proceedings.mlr.press/v97/geifman19a.html,"Related work; Verified literature review","Integrated learned rejection for selective prediction","Official PMLR proceedings",verified,
Gaube2021ClinicalDecisionAids,Do as AI Say: Susceptibility in Deployment of Clinical Decision-Aids,Gaube,2021,npj Digital Medicine,journal article,true,10.1038/s41746-021-00385-9,33608629,PMC7896064,,https://doi.org/10.1038/s41746-021-00385-9,"Introduction; Verified literature review","Clinical decision aids can influence user reliance","DOI; PubMed; PMC; publisher",verified,
Goddard2012AutomationBias,"Automation Bias: A Systematic Review of Frequency, Effect Mediators, and Mitigators",Goddard,2012,Journal of the American Medical Informatics Association,systematic review,true,10.1136/amiajnl-2011-000089,21685142,PMC3240751,,https://doi.org/10.1136/amiajnl-2011-000089,"Introduction; Verified literature review","Automation bias and over-reliance are relevant human-factors concerns","DOI; PubMed; PMC; publisher",verified,
Kiani2020HistopathologyAssistant,Impact of a Deep Learning Assistant on the Histopathologic Classification of Liver Cancer,Kiani,2020,npj Digital Medicine,journal article,true,10.1038/s41746-020-0232-8,32140566,PMC7044422,,https://doi.org/10.1038/s41746-020-0232-8,"Introduction; Verified literature review","An imperfect pathology assistant can affect human diagnostic performance","DOI; PubMed; PMC; publisher",verified,
Tschandl2020HumanComputerCollaboration,Human-Computer Collaboration for Skin Cancer Recognition,Tschandl,2020,Nature Medicine,journal article,true,10.1038/s41591-020-0942-0,32572267,,,https://doi.org/10.1038/s41591-020-0942-0,Verified literature review,"Human-AI collaboration effects depend on interaction design and model behavior","DOI; PubMed; publisher",verified,Background literature-review entry outside histopathology
Wiens2019DoNoHarm,Do No Harm: A Roadmap for Responsible Machine Learning for Health Care,Wiens,2019,Nature Medicine,commentary,true,10.1038/s41591-019-0548-6,31427808,,,https://doi.org/10.1038/s41591-019-0548-6,"Conclusion; Verified literature review","Responsible medical ML requires evaluation beyond retrospective performance","DOI; PubMed; publisher",verified,Commentary
Kelly2019ClinicalImpact,Key Challenges for Delivering Clinical Impact with Artificial Intelligence,Kelly,2019,BMC Medicine,review article,true,10.1186/s12916-019-1426-2,31665002,PMC6821018,,https://doi.org/10.1186/s12916-019-1426-2,"Conclusion; Verified literature review","Clinical impact requires evidence and workflow validation beyond model metrics","DOI; PubMed; PMC; publisher",verified,
Bleeker2003ExternalValidation,External Validation Is Necessary in Prediction Research: A Clinical Example,Bleeker,2003,Journal of Clinical Epidemiology,journal article,true,10.1016/s0895-4356(03)00207-5,14505766,,,https://doi.org/10.1016/S0895-4356(03)00207-5,Verified literature review,"External validation evaluates transport beyond development data","DOI; PubMed; publisher",verified,Background literature-review entry
Steyerberg2016Validation,"Prediction Models Need Appropriate Internal, Internal--External, and External Validation",Steyerberg,2016,Journal of Clinical Epidemiology,commentary,true,10.1016/j.jclinepi.2015.04.005,25981519,PMC5578404,,https://doi.org/10.1016/j.jclinepi.2015.04.005,"Introduction; Discussion; Verified literature review","Validation stages should be distinguished and appropriately designed","DOI; PubMed; PMC; publisher",verified,Commentary
Collins2015TRIPOD,Transparent Reporting of a Multivariable Prediction Model for Individual Prognosis or Diagnosis TRIPOD: The TRIPOD Statement,Collins,2015,Annals of Internal Medicine,reporting guideline,true,10.7326/m14-0697,25560714,,,https://doi.org/10.7326/M14-0697,Verified literature review,"Transparent reporting of prediction-model development and validation","DOI; PubMed; publisher",verified,Reporting guideline
Collins2024TRIPODAI,TRIPOD+AI Statement: Updated Guidance for Reporting Clinical Prediction Models That Use Regression or Machine Learning Methods,Collins,2024,BMJ,reporting guideline,true,10.1136/bmj-2023-078378,38626948,PMC11019967,,https://doi.org/10.1136/bmj-2023-078378,"Discussion; Conclusion; Verified literature review","Updated reporting guidance for machine-learning prediction models","DOI; PubMed; PMC; BMJ",verified,Reporting guideline
Tejani2024CLAIM,Checklist for Artificial Intelligence in Medical Imaging CLAIM: 2024 Update,Tejani,2024,Radiology: Artificial Intelligence,reporting guideline,true,10.1148/ryai.240300,38809149,PMC11304031,,https://doi.org/10.1148/ryai.240300,"Related work; Discussion; Verified literature review","Medical-imaging AI reporting should specify data, evaluation, and limitations","DOI; PubMed; PMC; RSNA",verified,Reporting guideline
Park2018AIEvaluation,Methodologic Guide for Evaluating Clinical Performance and Effect of Artificial Intelligence Technology for Medical Diagnosis and Prediction,Park,2018,Radiology,methodological review,true,10.1148/radiol.2017171920,29309734,,,https://doi.org/10.1148/radiol.2017171920,"Related work; Discussion; Verified literature review","Clinical AI evaluation requires appropriate validation design and reporting","DOI; PubMed; RSNA",verified,
Bossuyt2015STARD,STARD 2015: An Updated List of Essential Items for Reporting Diagnostic Accuracy Studies,Bossuyt,2015,BMJ,reporting guideline,true,10.1136/bmj.h5527,26511519,PMC4623764,,https://doi.org/10.1136/bmj.h5527,Verified literature review,"Diagnostic-accuracy studies require transparent reporting","DOI; PubMed; PMC; BMJ",verified,Reporting guideline and background entry
Riley2021ExternalValidationSampleSize,Minimum Sample Size for External Validation of a Clinical Prediction Model with a Binary Outcome,Riley,2021,Statistics in Medicine,methods article,true,10.1002/sim.9025,34031906,,,https://doi.org/10.1002/sim.9025,Verified literature review,"External-validation precision depends on adequate sample size and event counts","DOI; PubMed; Wiley",verified,Background methods entry
Vasey2022DECIDEAI,Reporting Guideline for the Early-Stage Clinical Evaluation of Decision Support Systems Driven by Artificial Intelligence DECIDE-AI,Vasey,2022,Nature Medicine,reporting guideline,true,10.1038/s41591-022-01772-9,35585198,,,https://doi.org/10.1038/s41591-022-01772-9,Verified literature review,"Prospective early-stage clinical evaluation has additional reporting requirements","DOI; PubMed; publisher",verified,Reporting guideline; not directly applicable to this retrospective study
Leeflang2013SensitivitySpecificity,Variation of a Test's Sensitivity and Specificity with Disease Prevalence,Leeflang,2013,CMAJ,journal article,true,10.1503/cmaj.121286,23798453,PMC3735771,,https://doi.org/10.1503/cmaj.121286,"Introduction; Discussion","Sensitivity and specificity may vary across populations and settings","DOI; PubMed; PMC; journal",verified,
Vickers2006DecisionCurve,Decision Curve Analysis: A Novel Method for Evaluating Prediction Models,Vickers,2006,Medical Decision Making,methods article,true,10.1177/0272989x06295361,17099194,PMC2577036,,https://doi.org/10.1177/0272989X06295361,"Discussion; Verified literature review","Clinical threshold usefulness requires consequence-aware decision analysis","DOI; PubMed; PMC; publisher",verified,
VanCalster2016CalibrationHierarchy,A Calibration Hierarchy for Risk Models Was Defined: From Utopia to Empirical Data,Van Calster,2016,Journal of Clinical Epidemiology,methods article,true,10.1016/j.jclinepi.2015.12.005,26772608,,,https://doi.org/10.1016/j.jclinepi.2015.12.005,"Introduction; Discussion","Calibration and threshold behavior are distinct components of model performance","DOI; PubMed; publisher",verified,
Pantanowitz2013WSIValidation,Validating Whole Slide Imaging for Diagnostic Purposes in Pathology: Guideline from the College of American Pathologists Pathology and Laboratory Quality Center,Pantanowitz,2013,Archives of Pathology & Laboratory Medicine,consensus guideline,true,10.5858/arpa.2013-0093-cp,23634907,PMC7240346,,https://doi.org/10.5858/arpa.2013-0093-CP,"Limitations; Verified literature review","Whole-slide diagnostic use requires fit-for-purpose technical validation","DOI; PubMed; PMC; journal",verified,Consensus guideline
